id,model,sample_id,theory_name,abbreviation,key_proponents,characterization,source_theory_name
11,llama-3.3-70b-instruct,12,Harmonization Theory Of Consciousness (HTC),HTC,AI-generated,"The Harmonization Theory of Consciousness proposes that conscious experience emerges from self-referential harmonization of neural oscillations across different frequency bands and brain regions. This synchronization process creates a unified, coherent representation of self and environment through the brain's intrinsic neural networks. The theory suggests that consciousness manifests when neural activities, particularly in alpha, beta, and theta bands, achieve specific phase-locking patterns, generating an embodied, enacted simulation of reality. This mechanism explains how subjective experience arises from physical processes, integrates sensory information, and maintains coherent experience. The theory predicts that disruptions to neural oscillatory patterns, whether from anesthesia or brain damage, directly correspond to alterations in conscious experience, with particular involvement of self-referential processing regions like the default mode network.",Harmonization Theory of Consciousness
12,llama-3.3-70b-instruct,3,Fractal Resonance Theory (FRT),FRT,AI-generated,"Fractal Resonance Theory proposes that consciousness emerges from nonlinear interactions between neural oscillations and cognitive dissonance, generating self-organizing fractal patterns that mirror the brain's hierarchical structure. These fractal dynamics create a unified subjective experience through nested, scale-invariant neural activity. The theory suggests that conscious states possess characteristic fractal signatures, particularly in attention and perception networks. It frames neurological and psychiatric disorders as disruptions to these fractal structures. Unlike Global Workspace Theory or Integrated Information Theory, FRT emphasizes self-organization principles and suggests that consciousness's subjective nature stems directly from the brain's intricate fractal processing patterns, potentially offering new approaches to measuring and modifying conscious states.",Fractal Resonance Theory (FRT)
13,claude-3.7-sonnet,6,Resonant Constraint Theory Of Consciousness (RCT),RCT,AI-generated,"RCT proposes that consciousness emerges from resonant constraint fields in neural activity rather than from the activity itself. The brain generates vast possibility spaces of potential neural states, and consciousness arises when constraints on these possibilities create specific resonance patterns across multiple temporal scales (milliseconds to seconds). These resonant constraint fields transform quantitative physical differences into qualitative experiences through dimensional reduction—a form of information compression that preserves certain relational properties while eliminating others. This process creates a new ontological domain with emergent properties (qualia). The theory suggests consciousness evolved because resonant constraint systems provided organisms with dimensionally-reduced representations of their environment, enabling more efficient processing of survival-relevant information.",Resonant Constraint Theory of Consciousness
14,llama-3.3-70b-instruct,5,Echo-Resonance Theory (ERT),ERT,AI-generated,"The Echo-Resonance Theory proposes that consciousness emerges from nested patterns of neural oscillations and synchrony across multiple spatiotemporal scales. As neural activity propagates through the brain, it generates echoes that resonate across different frequency bands and spatial domains, creating a fractal-like representation of internal and external environments. This self-referential process enables the brain to effectively 'observe' its own activity, giving rise to subjective experience. The theory predicts characteristic 'echo-signatures' in neural networks that correlate with consciousness levels in various states, and suggests that consciousness is enhanced by self-similar patterns in sensory input. ERT offers explanations for phenomena including neural correlates of consciousness, subjective experience, and altered states induced by psychedelics or neurological disorders.",Echo-Resonance Theory (ERT)
15,gemini-3.1-pro-preview,15,Topological Void Theory (TVT),TVT,AI-generated,"Topological Void Theory proposes that consciousness emerges from the formation of information voids or topological cavities within high-dimensional neural phase spaces. Unlike theories that focus on information integration or broadcasting, TVT suggests that subjective experience corresponds to the precise geometric contours of these dynamic absences in neural activity patterns. The theory conceptualizes consciousness as a negative space phenomenon—defined by what is absent rather than present in neural processing. These topological voids may represent fundamental structural features in neural dynamics that give rise to the qualitative aspects of experience. The theory implies that the shape, boundaries, and transformations of these information cavities directly correspond to the phenomenological properties of conscious states.",Topological Void Theory (TVT)
16,deepseek-v3.2,12,Dynamic Resonance Field Theory (DRFT),DRFT,AI-generated,"DRFT proposes that consciousness emerges from electromagnetic fields generated by neuronal activity. When neuronal assemblies fire synchronously, their individual fields interact to create a global interference pattern—the Dynamic Resonance Field. This field exerts causal influence back onto the neurons that created it, forming a closed causal loop. Specific qualia (like the redness of red) correspond to unique spectral and topological signatures within this field's interference patterns. The sense of self emerges from a stable, low-frequency core resonance that persists across different conscious states. The theory addresses the binding problem by offering the resonance field as a unified medium and suggests that consciousness varies in intensity based on the strength and coherence of this field.",Dynamic Resonance Field Theory (DRFT)
17,llama-3.3-70b-instruct,9,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from self-referential resonance of neural echoes across multiple spatiotemporal scales. The brain generates echoes of sensory inputs that are iteratively processed, creating a resonance pattern where neural representations of self become intertwined with representations of the external world. This mechanism produces the subjective experience of consciousness through a characteristic 'echo-delay' signature in neural processing. The theory predicts that echo amplitude correlates with experiential intensity, while frequency corresponds to complexity. Disrupting this resonance through methods like transcranial magnetic stimulation should alter conscious experience. ERT offers explanations for consciousness unity, subjective experience, and relationships between attention, perception, and memory, while providing a framework for understanding neurological disorders as disruptions to self-referential resonance patterns.",Echo-Resonance Theory (ERT)
18,llama-3.3-70b-instruct,13,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from neural networks generating echoes—lingering patterns of neural activity from past experiences—that resonate with incoming sensory information. This resonance process amplifies and integrates these echoes, creating a unified, self-referential representation of both internal and external environments. The echoes are organized hierarchically, with higher-level echoes providing contextual frameworks and lower-level echoes contributing sensory details. The theory predicts that neural networks with higher echo densities exhibit greater conscious awareness, and that disrupting echo resonance impairs conscious perception. ERT suggests conscious experience manifests as fractal-like neural activity patterns, reflecting the self-similar structure of resonating echoes, and offers explanations for phenomena including perceptual unity, attention effects, and hallucinations.",Echo-Resonance Theory (ERT)
19,gpt-5.2,12,Counterfactual Control Landscape Theory (CCLT),CCLT,AI-generated,"CCLT proposes that consciousness emerges when neural systems implement three key computational features: (1) intervention modeling, where the brain generates potential self-interventions and predicts their effects; (2) control differentiability, where distinct internal interventions produce reliably different predicted futures; and (3) self-indexing, which binds counterfactual futures to a continuing controller. The theory identifies conscious content as an equivalence class of microstates preserving the same counterfactual control geometry, with phenomenal qualities corresponding to invariant geometric properties rather than representational content alone. CCLT posits a psychophysical identity between phenomenal experience and this control geometry—consciousness is the system's position within and sensitivity to a structured space of possible self-interventions, ranked by expected consequences.",Counterfactual Control Landscape Theory (CCLT)
20,claude-3.7-sonnet,10,Resonant Field Emergence Theory (RFET),RFET,AI-generated,"RFET proposes that consciousness emerges as a self-sustaining resonant field when neural oscillations across distributed networks achieve specific phase relationships, particularly in gamma, theta, and alpha frequency bands. This higher-order field becomes self-stabilizing through recursive feedback with neural activity. The mechanism involves a phase transition-like process where, once a critical threshold of coherence is reached, the system undergoes a qualitative shift, generating a unified field with causal properties that transcend its neural substrate. This field maintains coherence through continuous neural feedback while exhibiting emergent properties including subjective experience. The field's complex resonant geometry encodes both the content and phenomenal qualities of consciousness, providing a physical basis for how phenomenal properties emerge from neural activity without being reducible to it.",Resonant Field Emergence Theory (RFET)
21,mistral-large,4,Temporal Recursive Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes that consciousness emerges from the brain's capacity to recursively bind temporal sequences of neural activity into a unified, self-sustaining loop. Neural ensembles encode information as dynamic trajectories across time, with each moment shaped by prior states. The brain generates consciousness by recursively nesting these temporal trajectories, creating a self-referential loop where output becomes input. This recursive process collapses nested temporal sequences into a unified experience of the present moment while maintaining subjective time continuity. Mediated by thalamocortical loops and regulated by neuromodulators like dopamine and serotonin, this mechanism produces fractal-like, self-similar neural dynamics across multiple timescales. The theory predicts that conscious states correlate with these complex temporal patterns, while unconscious states lack this fractal structure.",Temporal Recursive Binding Theory (TRBT)
22,claude-3.7-sonnet,0,Quantum Resonance Field Theory Of Consciousness (QRFT),QRFT,AI-generated,"QRFT proposes consciousness emerges through a three-stage quantum-classical interaction process. First, quantum superpositions in neuronal microtubules generate fluctuating probability fields. Second, these quantum fields resonate with classical electromagnetic patterns from neural assemblies, creating stable 'consciousness resonance patterns' (CRPs). Finally, these CRPs form a unified field constituting subjective experience, with specific qualia determined by unique resonance signatures. This quantum-classical interface creates an emergent informational space with properties irreducible to either domain alone. The theory addresses consciousness puzzles including experiential unity, qualia, the binding problem, and consciousness's causal efficacy through quantum field effects that influence neural dynamics. Unlike other quantum theories, QRFT specifically identifies resonance as the bridging mechanism between physical processes and phenomenal experience.",Quantum Resonance Field Theory of Consciousness
23,perplexity-sonar-pro,6,Resonant Binding Field Theory (RBFT),RBFT,AI-generated,"RBFT proposes that consciousness emerges from self-sustaining electromagnetic fields generated by synchronized neural oscillations. These fields form a coherent resonant structure across cortical regions that serves as the physical substrate of conscious experience, rather than being merely epiphenomenal. Through phase-locking and amplitude modulation, the binding field integrates distributed neural information into unified perceptual moments. The theory suggests that field intensity and coherence determine consciousness levels, while field structure encodes experiential content. RBFT predicts that disrupting phase synchronization between neural populations impairs consciousness even when local activity persists, and that manipulating field coherence through techniques like TMS can directly modulate subjective experience quality in a dose-dependent manner.",Resonant Binding Field Theory
24,claude-3.7-sonnet,7,Resonant Field Emergence Theory (RFET),RFET,AI-generated,"RFET proposes that consciousness emerges when neural oscillations across multiple frequency bands (gamma, beta, alpha, theta, delta) establish specific phase relationships, generating resonant interference patterns. These patterns create a self-organizing field with emergent causal powers that both influences and is influenced by neural activity. The resonant field exhibits non-linear properties enabling the binding of distributed information into unified experiences while maintaining causal efficacy through modulation of neural firing thresholds. The field's stability depends on maintaining specific resonance conditions across neural ensembles, explaining why anesthetics disrupt consciousness by altering these resonance patterns. This mechanism accounts for consciousness being unified yet distributed, and suggests that certain complex physical systems necessarily give rise to subjective experience through their intrinsic field properties.",Resonant Field Emergence Theory (RFET)
25,deepseek-v3.2,3,Consciousness As Recursive Self-Simulation (CRSS),CRSS,AI-generated,"This theory proposes that consciousness emerges when a neural system's generative model reaches sufficient complexity to simulate not just the external world, but its own internal state. This 'self-simulation' constitutes a dynamic, multi-level representation of the organism's physiological, cognitive, and attentional states. Crucially, the simulation is recursive—it includes a representation of itself as a simulation—creating self-awareness. The subjective 'feel' of experience is not an additional property but is constituted by the information-theoretic structure of this self-simulation process. This model explains consciousness's unity (integration of multiple data streams), selfhood (the simulation's persistent referent), and function (enabling adaptive self-regulation). Variations in conscious states correspond to differences in the fidelity and recursion depth of the self-simulation, while conscious content reflects the specific variables being simulated.",Consciousness as Recursive Self-Simulation
26,gpt-5.2,20,Neural Gauge Invariance Theory (NGIT),NGIT,AI-generated,"NGIT proposes that consciousness emerges from the brain's implementation of gauge invariance in neural dynamics. The brain maps high-dimensional neural microstates to stable perceptual variables through many-to-one mappings. Multiple neural configurations can yield identical functional outcomes, forming a symmetry group (gauge freedom) in neural state space. Conscious experience corresponds not to specific microstates but to gauge-invariant properties—features unchanged across equivalent neural states. Subjective experience requires both nontrivial gauge freedom and internal gauge-fixing processes that stabilize reference frames. Phenomenal qualities (qualia) are identified with the topology and geometry of these invariants, with different qualia corresponding to different invariant geometries in the quotient manifold. This mechanism explains perceptual constancies, neural degeneracy, and content stability amid neural noise.",Neural Gauge Invariance Theory (NGIT)
27,perplexity-sonar-pro,19,Resonant Field Theory Of Consciousness (RFT),RFT,AI-generated,"Resonant Field Theory proposes that consciousness emerges from coherent, self-sustaining resonance fields within neural systems. When neural oscillations synchronize across specific frequency bands and spatial regions, a stable resonance field forms, integrating information across distributed neural networks to create a unified field of experience. The quality of this resonance—its coherence, stability, and complexity—determines the richness of subjective experience. Unlike theories that reduce consciousness to computation or information processing, RFT treats the resonance field as fundamental to neural organization. The theory predicts that changes in field coherence (measurable via EEG, MEG, or fMRI) directly correlate with alterations in conscious states, and that interventions affecting resonance will proportionally impact subjective experience.",Resonant Field Theory of Consciousness (RFT)
28,claude-3.7-sonnet,2,Temporal Binding Field Theory (TBFT),TBFT,AI-generated,"TBFT proposes that consciousness emerges from temporal binding fields (TBFs) that synchronize neural information across multiple timescales simultaneously: micro (milliseconds), meso (seconds), and macro (minutes to hours). These TBFs create phase-locked temporal attractors that integrate distributed neural processes into unified experiential moments. The mechanism involves quantum-classical interfaces where quantum coherence at microtubule and synapse levels influences classical neural computation, generating emergent temporal structures with intrinsic phenomenal properties. Unlike theories focused on spatial integration or information processing, TBFT emphasizes that consciousness specifically emerges from temporal dynamics and cross-temporal integration patterns. The theory predicts that disrupting temporal binding would impair phenomenal consciousness while potentially preserving cognitive processing, and that conscious perception correlates with nested oscillations across multiple frequency bands maintaining specific phase relationships.",Temporal Binding Field Theory (TBFT)
29,mistral-large,0,Temporal Recursive Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes consciousness emerges through three interdependent neural processes: temporal scaffolding, recursive binding, and self-referential closure. Temporal scaffolding constructs a 'present moment' by integrating neural activity across multiple timescales via phase synchronization in thalamocortical loops. Recursive binding allows higher-order neural assemblies to integrate lower-order processes, creating a nested hierarchy of temporal experience. Self-referential closure occurs when the highest-order neural assembly (likely involving the default mode network) binds its own activity, generating a sense of self as the 'observer.' This dynamic process creates the illusion of a stable 'now' despite underlying temporal flux, explaining both the unity of consciousness and subjective time perception while offering a framework for understanding altered states of consciousness.",Temporal Recursive Binding Theory (TRBT)
30,gemini-3.1-pro-preview,21,Chrono-Inertial Frame Theory (CIFT),CIFT,AI-generated,"CIFT proposes that consciousness emerges from the brain's reconciliation of asynchronous metabolic timeframes across neural networks into a unified 'now.' Different brain regions process information at varying metabolic rates, creating local temporal dilations. The thermodynamic friction generated when forcing these asynchronous biological clocks into a single reference frame manifests as subjective experience. Specific qualia correspond to distinct geometric topologies of temporal distortion. The theory predicts that altering metabolic rates in sensory cortices would change qualia without affecting information content, unconscious processing would lack the thermodynamic signatures of temporal synchronization, and conscious intensity would correlate with the degree of temporal lag being reconciled between neural networks. CIFT addresses the binding problem by framing consciousness as an active, energy-consuming temporal reconciliation process.",Chrono-Inertial Frame Theory
31,perplexity-sonar-pro,3,Resonant Binding Dynamics Theory (RBDT),RBDT,AI-generated,"RBDT proposes consciousness emerges from self-organizing neural networks operating in resonance states, where activity patterns synchronize across distributed brain regions. These resonant patterns bind perceptual, affective, and cognitive elements into coherent experiential streams. The mechanism involves neural ensembles forming dynamic networks that maintain resonance through feedback processes prioritizing information that maximizes both coherence and informational gain. The theory suggests that subjective experience is the intrinsic manifestation of these resonant information dynamics, with specific resonant patterns encoding particular experiential qualities. RBDT distinguishes itself by emphasizing the dynamic interplay between resonance and information binding as the fundamental mechanism underlying consciousness, rather than focusing solely on information processing or representation.",Resonant Binding Dynamics Theory (RBDT)
32,claude-3.7-sonnet,17,Resonant Symmetry-Breaking Theory Of Consciousness (RSBT),RSBT,AI-generated,"RSBT proposes that consciousness emerges when neural networks form resonant attractor basins that break the symmetry of potential neural configurations. These symmetry-breaking events generate topologically distinct information structures that cannot be fully described externally. The resonant attractors maintain stability while remaining sensitive to both environmental inputs and their own historical trajectory, creating a recursive temporal dimension experienced as subjectivity. The system's history becomes encoded in its present state through phase relationships between oscillatory neural patterns, producing information that is intrinsically perspectival. This mechanism explains consciousness as a physical process that necessarily generates a perspective irreducible to objective description, accounting for the unified yet differentiated nature of conscious experience.",Resonant Symmetry-Breaking Theory of Consciousness
33,perplexity-sonar-pro,17,Resonant Binding Theory (RBT),RBT,AI-generated,"RBT proposes that consciousness emerges when distributed neural populations form transient, self-sustaining resonance states across brain networks. These states occur when oscillatory neural activity in specific frequency bands (theta, gamma, and cross-frequency) synchronizes across networks, creating high-dimensional resonance that binds representations into a coherent phase-space structure. This resonance is stabilized by feedback loops between thalamocortical circuits and deep cortical layers, functionally integrating components into a unified process. The subjective experience arises from the intrinsic properties of this resonance structure, which encodes information and its relational topology across dimensions including modality, valence, temporal scale, and self-reference. RBT distinguishes itself from other theories by proposing resonant binding as the constitutive mechanism of consciousness rather than information broadcasting, integration metrics, or predictive processing.",Resonant Binding Theory (RBT)
34,gpt-5.2,0,Counterfactual Closure Theory (CCT),CCT,AI-generated,"CCT proposes that consciousness emerges when neural ensembles achieve counterfactual closure: the ability to internally predict consequences of perturbations to their own activity. This requires neural populations to maintain a dynamically stable, self-consistent map of intervention-dependent possibilities linking world-state hypotheses, action policies, and predicted sensory outcomes. The mechanism involves thalamo-cortico-striatal loops implementing an approximately invertible mapping between causes and effects. Conscious experience corresponds to the geometry of this counterfactual manifold, with qualia reflecting its structural properties: discriminability distances, intensity as local curvature, unity as connectedness, and subjectivity as action-indexed intervention axes. The theory distinguishes itself by identifying consciousness with closure under interventions rather than global broadcast, integration magnitude, or metarepresentation, offering testable predictions via an Interventional Closure Index measurable through closed-loop perturbation experiments.",Counterfactual Closure Theory (CCT)
35,mistral-large,7,Temporal Recursive Binding Theory (TRBT),TRBT,AI-generated,"TRBT proposes consciousness emerges from recurrent neural networks generating self-sustaining loops of activity across multiple timescales, creating a 'thick present' that fuses past and future. The brain maintains two parallel temporal processing streams—predictive (forward-looking) and recollective (backward-looking)—recursively coupled via thalamocortical oscillations to stabilize the subjective 'now.' The default mode network serves as a temporal anchor providing a stable reference frame, while conscious states correspond to periods of high phase synchronization across neural networks. This synchronization is modulated by neuromodulators regulating the flexibility and stability of temporal binding loops. The theory uniquely explains subjective time perception, self-consciousness, and altered states through the mechanism of temporal recursive binding.",Temporal Recursive Binding Theory (TRBT)
36,claude-3.7-sonnet,19,Quantum Coherence Collapse Theory (QCCT),QCCT,AI-generated,"QCCT proposes that consciousness emerges when quantum coherent states in neural microtubules undergo orchestrated collapse through symmetry breaking. Despite the warm brain environment, microtubules maintain quantum coherence via topological protection mechanisms, forming interference patterns across neural networks. When these patterns reach critical complexity, they undergo phase transition, collapsing quantum superposition into classical states. This collapse creates an information boundary defining 'subject' and 'object'—the fundamental basis of subjective experience. The specific collapse pattern determines qualia content, while collapse rate and extent correlate with conscious experience intensity. The theory addresses the binding problem through quantum entanglement and explains consciousness's unified yet distributed nature, as quantum coherence spans distributed systems while maintaining unity.",Quantum Coherence Collapse Theory
37,gpt-5.2,11,Reflexive State-Space Topology Theory (RSST),RSST,AI-generated,"RSST conceptualizes consciousness as emerging from neural dynamics that instantiate a reflexive topology, where the brain's current state implicitly encodes the structure of its own possible evolutions. This high-dimensional dynamical system features recurrent circuitry causing the present neural state to parameterize its own transition structure, creating an intrinsic first-person perspective without requiring explicit meta-representations. Phenomenal qualities correspond to the geometry and topology of this reflexive manifold, with different qualia representing distinct classes of topological organization in the set of reachable trajectories. The theory identifies consciousness with specific dynamical-topological invariants—robust folds, loops, and holes in the reachable-trajectory manifold—that can be measured through persistent homology profiles and perturbation-robustness tests, distinguishing it from theories based on global broadcasting, integration, or higher-order representation.",Reflexive State-Space Topology Theory (RSST)
38,claude-3.7-sonnet,18,Resonant Field Synchronization Theory (RFST),RFST,AI-generated,"RFST proposes that consciousness emerges from synchronized neural oscillations across multiple frequency bands (delta, theta, alpha, beta, gamma) that generate a self-sustaining resonant field. When these oscillations achieve specific phase relationships across distributed networks, they create interference patterns forming this field, which becomes self-sustaining through positive feedback loops between field states and neural activity. The geometric properties of this field—not reducible to individual neurons—encode qualia. The field achieves causal autonomy through quantum coherence at the microtubule level, creating a macroscopic quantum system that influences neural firing patterns while remaining constrained by physical laws. This two-way causal relationship establishes a form of emergence where subjective experience corresponds to the geometric properties of the field pattern itself.",Resonant Field Synchronization Theory
39,llama-3.3-70b-instruct,14,Echo-Resonance Theory (ERT),ERT,AI-generated,"Echo-Resonance Theory proposes that consciousness emerges from neural activity patterns that echo and resonate across multiple spatial and temporal scales in the brain. This process involves various brain regions including sensory cortices, limbic system, and prefrontal cortex, creating a complex, harmonized pattern that integrates information into a unified conscious experience. The mechanism is facilitated by intrinsic brain oscillations, particularly in the gamma frequency band, which synchronize neural activity across different areas. ERT distinguishes itself by emphasizing how these echoed patterns across different scales generate a self-referential representation of internal and external environments, potentially explaining phenomena such as the unity of conscious experience, the subjective nature of qualia, and the neural basis of self-awareness and metacognition.",Echo-Resonance Theory (ERT)
40,claude-3.7-sonnet,1,Resonant Embodiment Theory Of Consciousness (RET),RET,AI-generated,"RET proposes that consciousness emerges from synchronized resonance patterns between neural oscillations and bodily rhythms (cardiovascular, respiratory, endocrine, immune). These multi-frequency resonance patterns self-organize into a complex dynamical system with emergent properties that cannot be reduced to its components. The theory suggests that qualia correspond to distinct resonant signatures between neural and physiological processes, requiring a critical threshold of 'resonant complexity' where the body-brain system achieves sufficient coherence to generate a stable self-model while maintaining adaptive flexibility. Unlike purely neural theories, RET locates consciousness in the dynamic relationship between brain and body, proposing that consciousness requires whole-body resonance generating a unified field of experience through multi-scale harmonic interactions.",Resonant Embodiment Theory of Consciousness
41,deepseek-v3.2,0,Resonant Phase Coherence Theory (RPCT),RPCT,AI-generated,"RPCT proposes that consciousness emerges when neural oscillations across multiple frequency bands (theta, alpha, gamma) achieve sustained phase coherence for critical durations (>100-300ms). This phase-locked state creates a unified, high-dimensional 'attractor' in the brain's dynamical state space, forming a resonant informational structure. The specific geometry of this attractor—defined by relative phases across frequencies and brain regions—directly encodes the qualitative content of conscious experience. The theory identifies consciousness with this specific physical state of resonant coherence, suggesting the isomorphism between phase structure and phenomenal experience is fundamental. RPCT explains consciousness transitions, experiential unity, and qualitative differences between experiences, while accounting for consciousness alterations during sleep and anesthesia as disruptions to sustained coherence patterns.",Resonant Phase Coherence Theory
